SK_ID_CURR,DAYS_BIRTH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN
100352,-18928,0.5366,0.6724,0.1852,-1205.090909090909,-450.8181818181818,0.45454545454545453,0.0
100358,-18552,0.671,0.2905,0.4453,-1273.857142857143,-319.5,0.5,0.3333333333333333
100367,-19840,0.507,0.5093,0.6562,-1985.0,-517.5,0.0,0.0
100382,-11746,0.507,0.3787,0.1644,-950.5555555555555,-456.44444444444446,0.4444444444444444,0.2857142857142857
100384,-11991,0.64,0.3943,0.519,-407.0,-4.0,1.0,0.0
100385,-12567,0.507,0.5767,0.2837,-654.625,-242.25,0.5,0.3333333333333333
100386,-13622,0.507,0.5923,0.5137,-768.8333333333334,-240.16666666666666,0.6666666666666666,0.0
100399,-20520,0.5845,0.7905,0.4067,-589.3333333333334,-76.66666666666667,0.6666666666666666,0.0
100404,-14343,0.507,0.6626,0.2091,-773.875,-360.875,0.25,0.0
100416,-16462,0.411,0.645,0.6987,-1302.0,-569.0,0.0,0.23076923076923078
100422,-18292,0.507,0.5166,0.5796,-1002.5,-733.875,0.125,0.0
100426,-14901,0.5195,0.5684,0.4067,-818.125,-342.3125,0.5625,0.14285714285714285
100438,-10711,0.5254,0.664,0.56,-527.75,-309.75,0.25,0.3333333333333333
100444,-9731,0.507,0.2656,0.539,-680.0,-55.0,1.0,0.0
100445,-13188,0.1833,0.504,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.125
100446,-10015,0.3428,0.0857,0.564,-1040.75,-680.25,0.25,0.0
100447,-21556,0.507,0.4878,0.68,-779.0,-146.0,0.5,0.0
100450,-22995,0.507,0.6963,0.3281,-1166.2222222222222,-394.55555555555554,0.6666666666666666,0.5
100466,-22986,0.813,0.677,0.364,-1315.2727272727273,-850.0,0.18181818181818182,0.0
100483,-15358,0.507,0.7046,0.4453,-1150.3333333333333,-603.3333333333334,0.4444444444444444,0.0
100484,-21975,0.8906,0.594,0.6396,-2760.0,-1660.0,0.5,0.1
100494,-10476,0.507,0.3079,0.6577,-1217.75,-682.5,0.0,0.0
100510,-15070,0.3206,0.344,0.403,-1222.111111111111,-429.1111111111111,0.5555555555555556,0.3333333333333333
100512,-23681,0.507,0.7324,0.519,-165.0,-11.0,1.0,0.0
100517,-15265,0.58,0.699,0.623,-1275.0,-722.5,0.2857142857142857,0.2
100548,-23982,0.507,0.3828,0.4956,-1111.6,-578.8,0.2,0.15789473684210525
100551,-20537,0.8438,0.6104,0.4365,-1704.0,-1194.4,0.2,0.18181818181818182
100552,-11611,0.2756,0.5474,0.3706,-917.0,-316.4,0.4,0.1
100553,-11604,0.3005,0.669,0.791,-2921.0,-2618.0,0.0,0.0
100561,-11819,0.3792,0.2732,0.2189,-687.2857142857143,-153.85714285714286,0.8571428571428571,0.36363636363636365
100568,-10018,0.507,0.3198,0.04413,-493.85714285714283,-244.85714285714286,0.42857142857142855,0.2
100569,-15253,0.507,0.6743,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100591,-16659,0.4673,0.7046,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100592,-21128,0.507,0.6206,0.79,-1667.6666666666667,-637.0,0.3333333333333333,0.42857142857142855
100602,-10310,0.287,0.6787,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100607,-17088,0.507,0.6465,0.548,-869.0,-132.0,0.75,0.0
100613,-22580,0.507,0.59,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100617,-12133,0.4587,0.601,0.123,-1642.5384615384614,-618.8461538461538,0.5384615384615384,0.25
100618,-15322,0.7017,0.574,0.3047,-1357.6666666666667,-419.0,0.3333333333333333,0.14285714285714285
100622,-10470,0.8145,0.2947,0.4207,-199.5,-127.83333333333333,0.16666666666666666,0.0
100625,-12104,0.1175,0.584,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100677,-14806,0.3706,0.651,0.2091,-447.42857142857144,-143.14285714285714,0.8571428571428571,0.0
100699,-13444,0.658,0.3643,0.6416,-1528.375,-1029.375,0.375,0.0
100702,-8839,0.507,0.14,0.1334,-569.25,-111.5,0.75,0.16666666666666666
100711,-16107,0.507,0.3066,0.349,-1005.0,-720.0,0.4,0.0
100729,-15974,0.3787,0.378,0.3706,-866.0,-772.0,0.0,0.14285714285714285
100740,-10302,0.507,0.3528,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100744,-10426,0.3184,0.4072,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.5
100745,-11000,0.5283,0.4668,0.587,-907.5,-303.0,1.0,0.0
100747,-8842,0.507,0.5625,0.3076,-612.4166666666666,-238.41666666666666,0.5,0.0
100751,-14469,0.1119,0.277,0.1952,-1016.125,-577.625,0.5,0.0
100752,-20762,0.507,0.4631,0.519,-2175.4,-1521.8,0.2,0.0
100753,-11477,0.2827,0.423,0.0938,-490.6,-74.4,0.8,0.0
100754,-19434,0.507,0.2688,0.2301,-846.0,-434.1666666666667,0.5,0.1111111111111111
100760,-19467,0.507,0.591,0.6445,-1525.857142857143,-599.8571428571429,0.14285714285714285,0.0
100762,-17376,0.507,0.551,0.3093,-1026.8181818181818,-604.9090909090909,0.36363636363636365,0.5
100763,-11053,0.507,0.2145,0.7925,-1427.4,-814.0,0.0,0.0
100765,-14590,0.507,0.5137,0.68,-2089.0,-1785.0,0.0,0.0
100770,-8819,0.1763,0.5757,0.3,-571.0,-198.2,0.6,0.0
100772,-12257,0.3408,0.7266,0.623,-1356.7,-716.4,0.3,0.14285714285714285
100777,-12220,0.507,0.6465,0.4507,-909.8,-519.8,0.3,0.0
100791,-12775,0.406,0.6245,0.6895,-1433.0,-29.0,1.0,0.0
100792,-15444,0.6406,0.7563,0.814,-1811.0,-1322.0,0.0,0.0
100797,-16262,0.581,0.623,0.703,-1556.5,-159.0,0.5,0.0
100823,-11880,0.7534,0.5747,0.709,-967.0,-18.0,1.0,0.0
100826,-14328,0.6304,0.6147,0.519,-1235.8,-837.2,0.4,0.0
100830,-20549,0.507,0.6714,0.5654,-1208.4,-321.8,0.4,0.21428571428571427
100836,-13150,0.507,0.2238,0.391,-600.6666666666666,-282.25,0.16666666666666666,0.0
100872,-11095,0.07263,0.772,0.6094,-1340.6666666666667,-502.3333333333333,0.3333333333333333,0.0
100910,-12329,0.2886,0.4731,0.519,-700.0,-4.0,1.0,0.0
100913,-23740,0.291,0.309,0.2301,-1035.75,-587.125,0.0625,0.1
100918,-10752,0.2664,0.6606,0.519,-968.0,-814.0,0.0,0.0
100931,-20845,0.874,0.6816,0.576,-791.1666666666666,-273.5,0.3333333333333333,0.0
100952,-11788,0.3945,0.6704,0.4526,-1641.5,-634.8,0.2,0.0
100953,-21533,0.402,0.625,0.68,-1634.8333333333333,-1128.6666666666667,0.3333333333333333,0.0
100965,-18559,0.362,0.3572,0.1635,-254.75,-151.75,0.5,0.0
100970,-19418,0.507,0.6016,0.595,-630.0,-308.0,0.75,0.0
100982,-8699,0.1792,0.5083,0.465,-224.0,-163.0,1.0,0.0
100983,-16489,0.0744,0.669,0.2622,-257.4,-47.4,1.0,0.0
100984,-10827,0.633,0.427,0.424,-1191.5714285714287,-698.0714285714286,0.21428571428571427,0.3
100987,-11854,0.2141,0.605,0.6025,-1353.0,-686.3333333333334,0.3333333333333333,0.0
100997,-10273,0.262,0.5396,0.4597,-960.0,-604.25,0.25,0.0
100998,-11144,0.507,0.3289,0.635,-409.0,-283.0,1.0,0.0
101002,-19577,0.6597,0.6274,0.288,-1359.6666666666667,-650.6666666666666,0.3333333333333333,0.0
101005,-10820,0.422,0.0688,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101008,-13119,0.507,0.501,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.4
101020,-16649,0.507,0.5757,0.519,-1285.0,-1087.0,0.0,0.0
101021,-17500,0.5854,0.2869,0.766,-1636.6666666666667,-1029.3333333333333,0.0,0.18181818181818182
101024,-12225,0.2996,0.6504,0.403,-1264.909090909091,-546.3636363636364,0.36363636363636365,0.0
101025,-10970,0.507,0.553,0.3,-1266.5,-58.5,1.0,0.5
101026,-21712,0.507,0.252,0.6787,-1240.125,-696.75,0.25,0.1111111111111111
101031,-20814,0.507,0.591,0.6865,-750.0,-408.0,0.0,0.0
101041,-17625,0.6665,0.711,0.4312,-478.0,-68.66666666666667,1.0,0.0
101051,-16119,0.635,0.783,0.571,-1486.6,-829.4,0.4,0.0
101055,-14272,0.507,0.6387,0.449,-846.6666666666666,-156.0,0.3333333333333333,0.0
101056,-9580,0.29,0.2102,0.1428,-234.0,-3.0,1.0,0.6666666666666666
101057,-10539,0.507,0.7285,0.386,-415.0,-83.5,0.5,0.21428571428571427
101064,-22015,0.3567,0.4438,0.548,-979.5714285714286,-627.2857142857143,0.42857142857142855,0.0
101079,-20213,0.507,0.337,0.3218,-1084.1,-308.6,0.3,0.0
101087,-14311,0.3706,0.4211,0.505,-1470.1363636363637,-684.0909090909091,0.18181818181818182,0.16666666666666666
101090,-21287,0.507,0.5513,0.7505,-2274.5,-1658.75,0.25,0.26666666666666666
101092,-12184,0.507,0.431,0.4102,-645.75,-115.0,0.5,0.0
101097,-18601,0.507,0.697,0.3281,-392.0,-20.5,1.0,0.0
101099,-24975,0.507,0.6724,0.6465,-1308.6875,-953.8125,0.125,0.0
101107,-16810,0.507,0.4233,0.796,-2524.0,-2288.0,0.0,0.0
101118,-16681,0.48,0.5425,0.633,-1534.0,-679.375,0.125,0.5
101125,-14116,0.275,0.4763,0.349,-780.3333333333334,-121.33333333333333,0.6666666666666666,0.0
101126,-14463,0.4395,0.6597,0.6816,-1236.0,-609.5,0.5,0.0
101128,-17307,0.507,0.746,0.6494,-1598.8333333333333,-835.0,0.16666666666666666,0.0
101136,-8885,0.524,0.10486,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101140,-12158,0.507,0.4949,0.214,-1093.8235294117646,-676.8823529411765,0.23529411764705882,0.0
101149,-18912,0.507,0.168,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101160,-21664,0.507,0.4375,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.25
101169,-20475,0.507,0.1697,0.519,-2822.0,-2196.0,0.0,0.4444444444444444
101181,-16548,0.637,0.5615,0.564,-427.8333333333333,-222.5,0.5,0.09090909090909091
101186,-16035,0.498,0.572,0.6943,-554.8333333333334,-196.16666666666666,0.6666666666666666,0.0
101190,-15928,0.4197,0.4448,0.3843,-899.5,-440.375,0.375,0.0
101193,-9540,0.42,0.6016,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.3333333333333333
101194,-12487,0.171,0.1897,0.5405,-1297.090909090909,-881.5454545454545,0.18181818181818182,0.25
101198,-12083,0.507,0.625,0.2366,-83.0,-31.0,1.0,0.36363636363636365
101200,-15593,0.507,0.718,0.3506,-1952.142857142857,-822.0,0.14285714285714285,0.25
101204,-15784,0.507,0.718,0.7505,-1442.5,-844.5,0.0,0.0
101211,-19604,0.507,0.3071,0.63,-1438.4285714285713,-450.85714285714283,0.5714285714285714,0.0
101213,-11519,0.3228,0.565,0.3015,-1428.9,-686.35,0.2,0.0
101223,-10496,0.2778,0.741,0.519,-777.0,-20.5,0.5,0.0
101225,-10707,0.3801,0.596,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101237,-20848,0.561,0.4517,0.359,-849.625,-407.375,0.5,0.14285714285714285
101243,-21590,0.507,0.1726,0.659,-304.0,-29.0,1.0,0.3
101244,-10224,0.1893,0.304,0.519,-1927.0,-1361.0,0.0,0.0
101258,-24548,0.507,0.7017,0.474,-596.2857142857143,-197.0,0.42857142857142855,0.0
101259,-9956,0.507,0.3977,0.3408,-141.5,-93.0,0.5,0.0
101268,-16662,0.419,0.3716,0.494,-271.72727272727275,-163.9090909090909,0.09090909090909091,0.23076923076923078
101269,-21586,0.507,0.654,0.761,-1538.3333333333333,-1003.6666666666666,0.3333333333333333,0.1
101271,-16945,0.6562,0.1368,0.456,-1642.0,-1329.909090909091,0.18181818181818182,0.0
101279,-23516,0.636,0.4656,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.16666666666666666
101281,-24697,0.507,0.1188,0.519,-73.0,-43.5,1.0,0.21428571428571427
101287,-11892,0.6577,0.6904,0.519,-2236.5,-1030.5,0.5,0.0
101292,-22428,0.507,0.741,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101294,-16278,0.682,0.3196,0.653,-700.0,-31.0,1.0,0.0
101296,-21092,0.507,0.537,0.3774,-654.4,-62.2,0.6,0.6
101297,-14931,0.5244,0.4504,0.7393,-1845.3333333333333,-947.0,0.16666666666666666,0.2
101299,-12749,0.8,0.3818,0.1757,-2046.0,-462.5,0.5,0.0
101301,-18390,0.4495,0.7217,0.5317,-1105.0,-35.0,1.0,0.3333333333333333
101305,-22330,0.293,0.732,0.2472,-301.1111111111111,-169.88888888888889,0.2222222222222222,0.0
101308,-12073,0.1398,0.7046,0.3328,-889.3333333333334,-522.7777777777778,0.3333333333333333,0.0
101318,-20854,0.507,0.6934,0.6196,-983.25,-731.0,0.25,0.0
101327,-12479,0.507,0.1427,0.2314,-1063.4285714285713,-509.7142857142857,0.7142857142857143,0.0
101329,-12875,0.578,0.572,0.587,-1280.4285714285713,-684.8571428571429,0.14285714285714285,0.0
101332,-21514,0.507,0.527,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101337,-17462,0.551,0.4233,0.621,-382.0,-167.5,0.5,0.2
101343,-16199,0.6,0.526,0.611,-944.8333333333334,-388.0833333333333,0.4166666666666667,0.0
101345,-13841,0.6895,0.731,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.5
101346,-18976,0.4507,0.6846,0.766,-1210.6666666666667,-829.6666666666666,0.0,0.25
101353,-18391,0.37,0.722,0.7715,-1561.6,-810.8,0.2,0.0
101354,-11049,0.2045,0.425,0.5117,-906.1666666666666,-419.0,0.5,0.0
101355,-18694,0.658,0.11475,0.2009,-1463.3157894736842,-710.8421052631579,0.3684210526315789,0.0
101356,-23689,0.507,0.4907,0.6396,-1478.0,-127.0,1.0,0.25
101362,-10317,0.609,0.5513,0.3474,-1015.0909090909091,-525.3636363636364,0.5454545454545454,0.5
101363,-11124,0.507,0.05487,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101365,-19644,0.7104,0.6987,0.519,-371.0,-352.0,1.0,0.0
101366,-18836,0.6484,0.3716,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101367,-8889,0.6533,0.1464,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101368,-14468,0.6763,0.7095,0.623,-1416.1666666666667,-616.5,0.16666666666666666,0.0
101374,-8661,0.507,0.3633,0.4348,-288.0,-217.0,1.0,0.0
101380,-18239,0.507,0.4795,0.8037,-1841.142857142857,-1404.857142857143,0.0,0.0
101383,-23973,0.507,0.609,0.6445,-637.25,-73.25,0.5,0.13333333333333333
101398,-22411,0.8013,0.6675,0.519,-261.0,-261.0,1.0,0.0
101399,-15319,0.3398,0.12286,0.3264,-688.75,-244.25,0.5,0.14285714285714285
101401,-16905,0.507,0.254,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101412,-11543,0.5557,0.1843,0.613,-1094.6666666666667,-947.0,0.0,0.0
101426,-19386,0.507,0.6606,0.6265,-714.0,-285.6666666666667,0.6666666666666666,0.42857142857142855
101427,-8413,0.507,0.02094,0.1343,-215.2,-61.2,0.8,0.125
101428,-11820,0.507,0.5605,0.258,-2000.8181818181818,-588.1818181818181,0.2727272727272727,0.0
101429,-20429,0.507,0.219,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.25
101434,-18584,0.507,0.7188,0.5513,-358.0,-110.0,0.0,0.0
101440,-12360,0.7603,0.5913,0.519,-904.0,-25.0,1.0,0.0
101448,-16647,0.507,0.5938,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.08333333333333333
101449,-19489,0.5854,0.6597,0.2764,-1105.5454545454545,-767.6363636363636,0.18181818181818182,0.0
101465,-9924,0.367,0.6714,0.3877,-1526.25,-903.375,0.25,0.125
101467,-16832,0.507,0.655,0.841,-2593.0,-2226.0,0.0,0.0
101472,-9127,0.507,0.5967,0.44,-916.0,-352.3333333333333,0.0,0.0
101478,-23105,0.507,0.2491,0.2737,-1757.625,-734.375,0.25,0.19047619047619047
101497,-19023,0.507,0.4736,0.4812,-1036.4,-460.0,0.6,0.0
101504,-19673,0.746,0.4873,0.142,-1648.6923076923076,-795.5384615384615,0.23076923076923078,0.3076923076923077
101547,-10579,0.4758,0.765,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101548,-11603,0.216,0.731,0.3723,-225.0,-5.0,1.0,0.2727272727272727
101555,-20274,0.5786,0.5254,0.05963,-1070.125,-455.625,0.375,0.0
101570,-15126,0.6606,0.5034,0.766,-1710.3333333333333,-397.0,0.6666666666666666,0.0
101572,-17358,0.507,0.416,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101578,-14236,0.4966,0.682,0.4153,-379.0,-166.66666666666666,0.3333333333333333,0.0
101580,-19989,0.1896,0.1793,0.5083,-1301.75,-911.25,0.25,0.0
101588,-13027,0.3423,0.519,0.2651,-807.8,-656.2,0.2,0.0
101602,-12308,0.5425,0.65,0.813,-1869.5,-1395.5,0.0,0.0
101610,-10838,0.2585,0.487,0.3774,-936.1538461538462,-546.4615384615385,0.38461538461538464,0.14285714285714285
101614,-15438,0.507,0.697,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101616,-13674,0.3572,0.5273,0.6074,-745.6666666666666,-384.3333333333333,0.3333333333333333,0.0
101643,-14718,0.507,0.575,0.391,-586.3333333333334,-267.8888888888889,0.3333333333333333,0.5333333333333333
101644,-18962,0.507,0.4092,0.749,-1218.0,-611.9230769230769,0.3076923076923077,0.25
101649,-15677,0.2126,0.2303,0.449,-1688.1666666666667,-895.5,0.16666666666666666,0.16666666666666666
101650,-13504,0.507,0.642,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101665,-23007,0.7153,0.7124,0.7407,-1330.6,-852.6,0.0,0.0
101667,-8316,0.2434,0.681,0.374,-151.5,-104.0,0.5,0.0
101669,-22166,0.507,0.7134,0.3015,-517.9285714285714,-415.25,0.17857142857142858,0.42857142857142855
101674,-9998,0.507,0.412,0.5137,-802.8,-68.6,0.8,0.0
101675,-18309,0.7485,0.6553,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101678,-17673,0.2925,0.263,0.595,-714.6666666666666,-345.0,0.3333333333333333,0.0
101682,-9006,0.3916,0.6055,0.2595,-380.42857142857144,-118.14285714285714,0.7142857142857143,0.2857142857142857
101686,-21648,0.507,0.666,0.3894,-1343.4375,-708.6875,0.25,0.2222222222222222
101697,-12883,0.3323,0.5024,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.6666666666666666
101700,-11642,0.0922,0.3918,0.1428,-375.6666666666667,-38.333333333333336,1.0,0.0
101711,-24371,0.507,0.6836,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101714,-20266,0.632,0.688,0.4597,-346.2,-68.0,0.6,0.0
101715,-13065,0.507,0.4836,0.275,-554.4,-52.4,0.6,0.14285714285714285
101728,-17467,0.711,0.5776,0.4507,-1261.0,-854.0,0.0,0.125
101732,-19356,0.4329,0.621,0.503,-621.3333333333334,-200.33333333333334,0.6666666666666666,0.3333333333333333
101757,-23439,0.3022,0.336,0.2896,-724.7777777777778,-378.8888888888889,0.2222222222222222,0.0
101758,-9198,0.34,0.588,0.5117,-562.3333333333334,-117.66666666666667,0.6666666666666666,0.0
101759,-12971,0.2764,0.642,0.56,-898.0,-635.0,0.5,0.0
101762,-17231,0.754,0.687,0.4526,-2174.285714285714,-530.4285714285714,0.42857142857142855,0.0
101764,-16063,0.3699,0.6123,0.53,-1242.2857142857142,-470.14285714285717,0.2857142857142857,0.0
101780,-11006,0.1613,0.352,0.2128,-1427.7333333333333,-809.9333333333333,0.2,0.07692307692307693
101784,-19206,0.7334,0.7744,0.677,-1594.8333333333333,-1323.6666666666667,0.3333333333333333,0.0
101789,-17447,0.7847,0.6577,0.5317,-1333.2222222222222,-637.4444444444445,0.4444444444444444,0.0
101816,-23043,0.507,0.3855,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.18181818181818182
101819,-17681,0.507,0.6787,0.494,-1026.5,-143.33333333333334,0.8333333333333334,0.0
101827,-20853,0.785,0.7646,0.6816,-1274.75,-452.75,0.5,0.0
101863,-19025,0.4744,0.519,0.3757,-728.3333333333334,-93.0,0.6666666666666666,0.0
101867,-14883,0.4768,0.633,0.519,-258.0,-9.0,1.0,0.0
101870,-14476,0.625,0.695,0.7476,-538.0,-301.0,0.0,0.0
101873,-16913,0.507,0.691,0.1293,-1823.0,-1240.5,0.5,0.4666666666666667
101878,-14872,0.396,0.2935,0.3032,-729.3333333333334,-145.91666666666666,0.5,0.0
101879,-22737,0.507,0.3748,0.68,-1503.5555555555557,-1141.0,0.2222222222222222,0.45454545454545453
101880,-14831,0.507,0.723,0.6006,-985.2,-273.4,0.4,0.35714285714285715
101887,-9535,0.611,0.6743,0.2778,-978.25,-403.0,0.5,0.0
101897,-21011,0.507,0.5483,0.7925,-2632.6666666666665,-1130.0,0.0,0.0
101901,-12158,0.4236,0.263,0.4067,-1056.0,-521.0,0.0,0.3333333333333333
101903,-8318,0.1484,0.1133,0.4722,-500.5,-229.5,0.5,0.0
101920,-21989,0.507,0.629,0.587,-923.0,-342.6666666666667,0.3333333333333333,0.0
101921,-13547,0.3804,0.6045,0.6626,-907.0,-236.0,0.0,0.25
101922,-22360,0.1567,0.625,0.778,-1717.5,-1476.0,0.0,0.08333333333333333
101961,-8155,0.1799,0.3982,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.6153846153846154
101962,-11237,0.507,0.705,0.5425,-1702.5625,-850.8125,0.125,0.5454545454545454
101971,-15752,0.47,0.612,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
101976,-13400,0.507,0.2512,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.5
102002,-11698,0.2126,0.5986,0.53,-577.2,-193.4,0.8,0.0
102005,-15009,0.5957,0.636,0.6265,-1270.3333333333333,-773.6666666666666,0.0,0.0
102007,-16743,0.708,0.03842,0.1403,-1108.2857142857142,-291.7142857142857,0.5714285714285714,0.375
102017,-19443,0.507,0.7505,0.6724,-1692.0,-976.0,0.0,0.0
102019,-16107,0.507,0.742,0.07544,-287.5,-24.75,1.0,0.0
102029,-16965,0.507,0.761,0.7983,-1170.5,-835.5,0.0,0.0
102051,-9963,0.506,0.04337,0.5425,-742.0,-331.3333333333333,0.6666666666666666,0.0
